draft_year,pick,team,player,college,years,gp,mp,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws_58,bpm,vorp,all_stars,all_nba_1,all_nba_2,all_nba_3,mvp_candidacy
2010,6,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,0.429,0,0.72,16.9,4,3.2,0.7,5.7,0.06,-1.1,1,0,0,0,0,0
2010,7,DET,Greg Monroe,Georgetown University,7,538,15955,7572,4707,1216,0.511,0,0.705,29.7,14.1,8.7,2.3,45.2,0.136,2,16.2,0,0,0,0,0
2010,8,LAC,Al-Farouq Aminu,Wake Forest University,7,520,12520,3766,2948,639,0.426,0.324,0.725,24.1,7.2,5.7,1.2,17.4,0.067,-0.3,5.2,0,0,0,0,0
2010,9,UTA,Gordon Hayward,Butler University,7,516,16164,8077,2149,1762,0.444,0.368,0.82,31.3,15.7,4.2,3.4,43,0.128,2,16.3,1,0,0,0,0
2010,10,IND,Paul George,"California State University, Fresno",7,448,14692,8090,2816,1419,0.432,0.37,0.85,32.8,18.1,6.3,3.2,44.5,0.145,3.8,21.3,4,0,0,3,0
2010,11,NOH,Cole Aldrich,University of Kansas,7,318,3340,1038,1116,180,0.531,,0.748,10.5,3.3,3.5,0.6,9.6,0.137,1.2,2.7,0,0,0,0,0
2010,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-5.1,-2.3,0,0,0,0,0
2010,13,TOR,Ed Davis,University of North Carolina,7,481,10036,3278,3063,398,0.562,0,0.568,20.9,6.8,6.4,0.8,30.5,0.146,1.1,7.9,0,0,0,0,0
2010,14,HOU,Patrick Patterson,University of Kentucky,7,477,11434,3746,2233,578,0.459,0.368,0.744,24,7.9,4.7,1.2,25,0.105,0.7,7.9,0,0,0,0,0
2011,1,CLE,Kyrie Irving,Duke University,6,381,13024,8232,1290,2114,0.457,0.383,0.873,34.2,21.6,3.4,5.5,40.4,0.149,2.9,16.2,4,0,0,1,0
2011,2,MIN,Derrick Williams,University of Arizona,6,426,8855,3807,1692,293,0.434,0.3,0.71,20.8,8.9,4,0.7,14.1,0.076,-3.2,-2.6,0,0,0,0,0
2011,3,UTA,Enes Kanter,,6,445,9479,5031,2997,269,0.53,0.299,0.768,21.3,11.3,6.7,0.6,26.6,0.135,-2.5,-1.3,0,0,0,0,0
2011,4,CLE,Tristan Thompson,University of Texas at Austin,6,466,13381,4378,4026,385,0.515,0,0.611,28.7,9.4,8.6,0.8,34.9,0.125,-0.5,5,0,0,0,0,0
2011,5,TOR,Jonas Valanciunas,,5,363,9483,4160,3085,240,0.556,0.25,0.781,26.1,11.5,8.5,0.7,33.6,0.17,-0.5,3.7,0,0,0,0,0
2011,6,WAS,Jan Vesely,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-0.6,0.9,0,0,0,0,0
2011,7,SAC,Bismack Biyombo,,6,447,9557,2176,2945,189,0.512,0,0.553,21.4,4.9,6.6,0.4,18,0.09,-2.1,-0.2,0,0,0,0,0
2011,8,DET,Brandon Knight,University of Kentucky,6,382,11939,5820,1277,1629,0.415,0.357,0.812,31.3,15.2,3.3,4.3,11.6,0.047,-1.2,2.3,0,0,0,0,0
2011,9,CHA,Kemba Walker,University of Connecticut,6,443,15008,8137,1708,2380,0.411,0.351,0.827,33.9,18.4,3.9,5.4,32.6,0.104,2.2,15.8,1,0,0,0,0
2011,10,MIL,Jimmer Fredette,Brigham Young University,5,235,3148,1416,236,323,0.412,0.381,0.876,13.4,6,1,1.4,2.4,0.037,-4,-1.6,0,0,0,0,0
2011,11,GSW,Klay Thompson,Washington State University,6,464,15182,8854,1554,1045,0.453,0.419,0.853,32.7,19.1,3.3,2.3,36.6,0.116,0.5,9.6,3,0,0,2,0
